ax,ay,az
11348,-7704,-14468
8060,-10652,-14356
5376,-8980,-17424
5924,-5852,-17924
7444,-5448,-16496
8708,-8016,-14028
7888,-11344,-13968
5664,-10868,-16548
4272,-6916,-18136
6340,-3424,-16608
9508,-3880,-13336
9476,-7476,-12200
7840,-7480,-13308
6116,-3408,-16264
7460,1788,-15752
9672,2436,-12656
11688,452,-10376
10688,-1392,-10320
8532,392,-12584
8224,4920,-13748
10860,7452,-13088
13536,6280,-9640
13580,3040,-9124
11592,2472,-11412
9816,5680,-13528
11144,10116,-12860
14312,9572,-9644
16100,5376,-7952
14052,2256,-8248
11708,3844,-11472
11500,7448,-12440
14232,8732,-11804
16560,5808,-8688
15976,1212,-8092
13688,880,-10944
12072,3208,-14096
13008,5684,-14348
15256,3404,-11824
15832,-1436,-10688
13208,-3996,-11168
9904,-2788,-14724
10012,88,-16016
11620,-28,-15028
12692,-3516,-12292
11272,-7604,-12620
8772,-8092,-15588
6916,-5428,-17016
8372,-3104,-16452
10876,-4672,-13864
10724,-8984,-12944
8140,-10136,-14264
6092,-7068,-17392
7372,-2904,-17304
9004,-2508,-14100
10704,-4316,-12204
9564,-6492,-12472
7204,-4896,-15212
6504,-204,-15500
8860,2976,-14452
11424,2304,-11712
11056,-844,-10656
9244,-928,-11916
7752,2124,-14352
9212,6260,-14272
12048,6152,-11020
13568,2884,-9032
11812,488,-9468
9588,2136,-12360
9776,6464,-13388
12244,8412,-12368
15040,6104,-9500
14620,2336,-9492
12676,1896,-11388
10948,4660,-13348
12752,8064,-13724
15760,6732,-11380
16652,2116,-10044
14352,-292,-10744
11748,1296,-14424
12332,4592,-15556
14076,4640,-13952
15688,1612,-11672
14412,-2460,-11576
11248,-3092,-14460
9060,-500,-16728
10424,1664,-16100
12740,36,-13252
12400,-4480,-12436
9188,-6852,-13796
6552,-4568,-17284
7540,-908,-17720
9664,-1028,-14976
11100,-3908,-12160
9360,-7360,-12784
6708,-6924,-16016
5576,-3096,-16636
7832,-136,-15400
10480,-1412,-12448
10248,-5728,-11620
8380,-5840,-12952
6536,-1720,-15520
8288,3008,-15260
10784,2684,-11968
12308,-420,-9928
10688,-2016,-10148
8340,-96,-13472
8172,4100,-13928
10764,6536,-12772
13324,4960,-9824
13164,1136,-9280
11124,972,-11320
9528,4096,-13388
11304,8004,-13468
14716,6944,-10412
16204,2832,-8528
14308,908,-9112
11628,2704,-12816
12184,6496,-14144
14540,6984,-12840
16400,4392,-10140
15588,480,-10356
13200,-340,-13548
11284,2536,-16008
12464,4852,-15528
15040,3048,-12908
14712,-1920,-11840
11652,-4588,-13200
8676,-2684,-16788
9068,672,-17412
10376,308,-14960
11512,-2976,-12932
9948,-7104,-12844
6916,-7396,-15532
5152,-3896,-16360
7296,-1408,-15520
9912,-2936,-12924
9220,-7904,-12288
6812,-8920,-13744
5008,-5264,-16584
6376,-1032,-16144
8756,-1704,-12744
10264,-4736,-11256
