ax,ay,az
4172,-528,-17652
6240,2356,-17060
10508,3268,-15292
12944,-476,-13632
6344,-5324,-12572
3240,-1908,-15620
3132,1072,-17128
9680,3480,-18160
13016,704,-14668
9408,-2752,-11448
5824,-3644,-14352
2736,-920,-16524
5972,1036,-17264
9868,3472,-16260
12800,-304,-14060
7056,-5324,-11920
4288,-2900,-15768
5780,2036,-18864
8312,3728,-17172
11184,1844,-14192
10192,-2552,-13024
6184,-4700,-14160
3972,-148,-17224
5988,2448,-17196
10492,3464,-16012
13172,-652,-13904
6948,-5444,-12296
3860,-2328,-15820
2536,-356,-16848
8116,3180,-17392
12816,2084,-15308
10708,-2136,-12248
5796,-4288,-13252
3308,-2300,-16164
6604,348,-17888
9296,4100,-16392
12540,444,-13936
7908,-5240,-12200
4544,-3536,-15508
4608,1256,-18308
7832,3696,-16964
11272,2136,-14548
10796,-1752,-12924
6248,-4792,-13876
3648,-84,-16796
5264,2116,-16964
10588,3564,-16936
13424,-684,-13904
7740,-5092,-12056
4928,-2544,-15848
3864,-112,-17484
7164,3220,-17192
12196,2988,-15972
11704,-2132,-12832
5660,-4952,-12656
3844,-1968,-16220
6948,812,-18300
8988,4432,-16412
12036,972,-14076
8288,-5256,-12012
5000,-3396,-14804
3744,-8,-17668
7676,3360,-17616
11084,2168,-14748
11408,-1064,-12884
6016,-4744,-13296
3708,-756,-16596
4740,2308,-17092
10508,3572,-17584
13308,-320,-13796
8116,-4620,-11408
5264,-2776,-15644
4044,780,-17600
6728,2636,-17092
11108,2784,-15640
12488,-1180,-13540
6016,-5700,-12336
3944,-1780,-16204
7000,1232,-18564
8928,4268,-16440
11776,1200,-13856
9040,-4284,-12440
5584,-4016,-14668
3804,-368,-17544
6872,2884,-17120
11268,2972,-15344
12296,-892,-13360
6016,-4964,-12504
2964,-1428,-15832
3940,1748,-17348
9940,3304,-17932
13216,280,-14492
8880,-3404,-11448
5472,-3192,-14612
2992,-280,-16560
6492,1300,-17256
9968,3072,-15652
12560,-404,-13552
6956,-5200,-12352
4100,-2824,-16208
6196,1916,-18596
8700,3748,-16596
11692,1508,-13988
9272,-3112,-12312
5996,-4520,-14268
4196,-420,-17772
6384,2624,-17216
10692,3224,-15444
12940,-772,-13208
6784,-5296,-12648
3556,-2308,-16052
3080,248,-17160
8524,3316,-17376
13248,1624,-15260
9976,-2940,-11924
5648,-3808,-13720
2992,-1768,-16112
6784,472,-17868
9488,3588,-16048
12388,252,-13776
7488,-5084,-12264
4412,-3556,-15620
5252,1700,-18484
8552,3836,-17076
11476,1776,-14000
10088,-2124,-12240
6180,-4432,-14312
4292,96,-17804
5812,2556,-17044
10628,3520,-16324
13484,-832,-13596
7236,-5508,-12148
4736,-2252,-16132
4440,-12,-17816
7564,3632,-17048
12316,2664,-15376
10980,-2584,-12564
5904,-4476,-13052
3620,-1940,-16372
6892,720,-18036
9216,3980,-16188
12180,780,-13712
8192,-5252,-12256
4960,-3576,-15224
3680,328,-17612
8464,3824,-17488
11624,1896,-14284
11016,-1388,-12532
5968,-4516,-13604
3000,-1356,-16096
3616,1624,-17132
9588,3220,-17712
13324,452,-14756
9212,-3240,-12004
5712,-3236,-14372
3220,-480,-16628
6404,1192,-17268
10048,3292,-15656
12760,-396,-13692
6884,-5248,-12288
4104,-2940,-16216
6020,1936,-18640
8616,3876,-16552
11756,1860,-14104
9732,-3132,-12704
5908,-4636,-14456
4156,8,-17356
6264,2520,-16748
10612,3240,-15616
13184,-672,-13848
6552,-5416,-12308
3712,-2052,-15936
2792,184,-16832
8652,3180,-17392
13088,1632,-15204
10084,-2584,-12020
5784,-3880,-13696
3136,-1756,-16100
6884,416,-17636
9396,3780,-16132
12452,280,-13616
7428,-5092,-12068
4472,-3664,-15836
